    Ps have (part) atoms    1.0000
litter size    Litter size depends on factors    1.0000
litterateur    A litterateur is an author    1.0000
litterbug    A litterbug is a slob    1.0000
little    A little is an amount    1.0000
little baby    Little babies begin life    1.0000
little barley    Little barley is barley    1.0000
little bird    Little birds have senses    1.0000
little blue heron    Little blue herons have white plumages    1.0000
little bluestem    Little bluestems are grass    1.0000
little boy    Little boys utilize methods    1.0000
little brother    Little brothers get families    1.0000
little brown    Little browns have strong jaws and teeth, and short necks    0.7139
little brown bird    Little brown birds have bills    1.0000
little bud    Little buds grow into plants    1.0000
little chef    Little chefs hold spoons    1.0000
little creature    Little creatures do good jobs    1.0000
little dog    Little dogs have life expectancy    1.0000
little evidence    Little evidence supports theories    1.0000
little extra heat    Little extra heat raises temperature    1.0000
little finger    A little finger is a finger    1.0000
little fish    Little fish eat the lower marine life forms and concentrate the pesticides in their bodies    0.7440
little flower    Little flowers produce seeds    1.0000
little girl    Little girls lie in beds    1.0000
little gull    Little gulls feed on insects    1.0000
little guy    Little guys grasp hands    1.0000
little hand    A little hand is a hand    1.0000
little koala    Little koalas rely on claws    1.0000
little league    A little league is a league    1.0000
little light    Little light reaches forest floors    1.0000
little nose    Little noses have air passage    1.0000
little owl    A little owl is an owl    1.0000
little penguin    Little penguins use rock crevices or caves for their nests    0.7608
little river    Little rivers are places    1.0000
little rock    Little rocks are capital    1.0000
little skate    A little skate is a skate    1.0000
little snake    Little snakes make swish sound    1.0000
little songbird    Little songbirds sing tunes    1.0000
little worm    Little worms live in sediments    1.0000
littleneck    A littleneck is a clam    1.0000
littoral transport    Littoral transport is the movement of material by waves and currents on the coastline    0.7501
liturgist    A liturgist is authority    1.0000
liturgy    Liturgy is a rite    1.0000
live animal    Live animals require water    1.0000
live arthropod    Live arthropods have hard exoskeletons    1.0000
live band    Live bands play music    1.0000
live birth    A live birth is a birth    1.0000
live coelacanth    Live coelacanths live in water    1.0000
live creature    Live creatures have survival    1.0000
live enzyme    Live enzymes feed the body, mind and spirit    0.7815
live food    Live food consists of fruits and vegetables that come from the earth    0.7841
live larva    Live larvae develop into worms    1.0000
live lice    Live lice are tiny wingless insects that crawl into the hair    0.7990
live load    Live load is load    1.0000
live oak    Live oak is oak    1.0000
live oyster    Live oysters hold their shells tightly closed    0.7692
live plant    Live plants help increase and maintain humidity    0.7177
live rock    Live rock is rock that is from the ocean and is the foundation of the development of coral reefs    0.7145
live room    Live rooms have windows    1.0000
live tissue    Live tissue contains blood vessels    1.0000
live wire    Live wire is a worker    1.0000
live worm    Live worms are notorious for harvesting bacteria and other parasites    0.7186
livelihood    A livelihood is a resource    1.0000
lively discussion    Lively discussion is located in meetings    1.0000
liver    Livers have (part) plasma membranes    1.0000
liver abscess    Liver abscess can result from infections or penetrating injuries to the liver    0.7295
liver cancer    Liver cancer starts within a single cell    0.7764
liver cell    Liver cells gather where the liver have to be    0.7753
liver cirrhosis    Liver cirrhosis is a major cause of illness, death, and consumption of medical resources    0.7616
liver damage    Liver damage is a rare side effect of anti-androgens    0.7516
liver disease    Liver diseases are illnesses    1.0000
liver enzyme    Liver enzymes can convert a chemical that is OK to a carcinogen    0.8178
liver failure    Liver failure is severe deterioration of liver function    0.7983
liver fibrosis    Liver fibrosis represents the uniform response of liver to toxic, infectious or metabolic agents    0.7955
liver function    Liver functions decide what enters the blood and protects the remainder of the body    0.8378
liver lobule    Liver lobules consists of plates of hepatic cells separated by capillary sinusoids    0.8589
liver metastasis    Liver metastasis is one of the major causes of cancer death after resection of pancreatic cancer    0.7523
liver problem    Liver problems relate to deficiencies    1.0000
liver protein    Liver protein is broken to combine with the hydrogen to make fat    0.7910
liver shunt    Liver shunts are extra blood vessels that allow a portion of the animal s blood to bypass the liver    0.8352
liver spot    Liver spots are pigmentary changes associated with senile skin    0.7753
liver tissue    Liver tissue is made up of units called lobules    0.8133
liver tumor    Liver tumors can develop anywhere body of the liver    0.7160
livestock    Livestock feeds on plants    1.0000
livestock farmer    Livestock farmers raise animals    1.0000
livestock waste    Livestock waste contains ammonia and high levels of organic matter    0.7424
lividity    Lividities are fury    1.0000
living    Livings  working    1.0000
living cell    Living cells are glucose-burning machines    0.7711
living rock    Living rocks are cactuses    1.0000
living room    Living rooms are places    1.0000
living space    Living space is rooms    1.0000
living system    Living systems consist of dead organic and inorganic matter as well as living tissue    0.7503
living thing    A living thing is an unit    1.0000
living trust    Living trust is trust    1.0000
living will    Living will is legal documents    1.0000
lizard    Lizards are vertebrates    1.0000
lizard herbivore    Lizard herbivores are varied in diet, diverse tax- onomically, and widespread geographically    0.7001
lizard island game    Lizard island games teach players    1.0000
lizard parent    Lizard parents provide care    1.0000
lizard tail    Lizard tails help in balance and movement    0.7288
lkaptonuria    Alkaptonuria is an inherited condition that causes urine to turn black when exposed to air    0.8297
llama    Llamas employ strategies    1.0000
llano    A llano is a field    1.0000
llinois    Illinois has (part) Chicago    1.0000
llithospheric plate    Llithospheric plates are a series of slabs that make up the Earth's hard outer shell    0.7808
lluvium    Alluvium is the material deposited by streams    0.8030
loach    A loach is a bony fish    1.0000
load    Load increases energy consumption    1.0000
load factor    Load factors are ratios    1.0000
load shedding    Load shedding are limitations    1.0000
loader    A loader is a laborer    1.0000
loading    Loadings is puttings    1.0000
loaf    Loafs come out of ovens    1.0000
loafer    A loafer is a person    1.0000
loam    A loam is dirt    1.0000
loan    Loans are debts    1.0000
loan officer    Loan officers are professionals    1.0000
loanword    Loanword is a word    1.0000
loathing    A loathing is disgust    1.0000
lob    A lob is a return    1.0000
lobate ctenophore    Lobate ctenophores are translucent and give off a bioluminescent glow    0.8009
lobby    Lobbies are used for large buildings    1.0000
lobbyist    Lobbyists are persuaders    1.0000
lobe    Lobes have (part) corpi    1.0000
lobe damage    Lobe damage causes impairment    1.0000
lobe leaf    Lobe leaves have surfaces    1.0000
lobed leaf    A lobed leaf is a leaf    1.0000
loblolly    A loblolly is gruel    1.0000
lobster    Lobsters have mandibles    1.0000
lobsterman    Lobstermans are skilled workers    1.0000
lobular carcinoma    Lobular carcinomas originate in the small sacs in the breast that produce milk    0.8121
lobule    A lobule is a lobe    1.0000
lobulin    Globulin is an insoluble in water protein that is transported in the serum    0.8376
local    Locals are local organizations    1.0000
local anaesthesia    Local anaesthesia is anaesthesia    1.0000
local anaesthetic    A local anaesthetic is a drug    1.0000
local anesthesia    Local anesthesia is anesthesia    1.0000
local authority    Local authority is an office    1.0000
local call    Local calls are calls    1.0000
local community    Local communities use fruit    1.0000
local community action    Local community actions have cost    1.0000
local contractor    Local contractors employ carpenters    1.0000
local department    Local departments are government departments    1.0000
local doctor    Local doctors have results    1.0000
local event    Local events have impact    1.0000
local expert    Local experts to assess situations    1.0000
local extension office    Local extension offices offer advice    1.0000
local extinction    Local extinction is the loss of all individuals in a population    0.7436
local farmer    Local farmers report customers    1.0000
local favorite    Local favorites vary from regions    1.0000
local fire department    Local fire departments have suggestions    1.0000
local fisherman    Local fishermen use traditional techniques    1.0000
local geological factor    Local geological factors contribute to magnification    1.0000
local government    Local government has agencies    1.0000
local habitat condition    Local habitat conditions affect detection    1.0000
local host    Local hosts encourage guests    1.0000
local inflammation    Local inflammation is caused by injuries    1.0000
local leader    Local leaders implement approaches    1.0000
local legal aid society    Local legal aid societies offer legal services    1.0000
local market    Local markets provide opportunity    1.0000
local metabolite    Local metabolites dilate skeletal muscle blood vessels    0.7379
local musician    Local musicians play music    1.0000
local office    Local offices offer advice    1.0000
local official    Local officials are workers    1.0000
local oil refinery    Local oil refineries hold oil    1.0000
local option    A local option is a self-determination    1.0000
local pharmacy    Local pharmacies are facilities    1.0000
local photographer    Local photographers take pictures    1.0000
local police    Local police have people    1.0000
local producer    Local producers make food    1.0000
local road    Local roads are streets    1.0000
local school food authority    Local school food authority makes decisions    1.0000
local sea surface temperature    Local sea surface temperature increases during months    1.0000
local sheriff    Local sheriffs have choices    1.0000
local street    A local street is a street    1.0000
local stress concentration    Local stress concentration leads to fatigue    1.0000
local time    Local time is time    1.0000
local tradition    Local tradition contributes to long life    1.0000
local union    Local unions have additional time requirements    1.0000
local vicar    Local vicars offer prayer    1.0000
locale    A locale is a scene    1.0000
localisation    Localisation is a finding    1.0000
localism    A localism is partisanship    1.0000
locality    Localities contain individuals    1.0000
localization    Localization is a finding    1.0000
localize effect    Localize effects can have tremendous effects    1.0000
localized cancer    Localized cancers are tumors that are still contained within the organ in which they started    0.7944
location    Locations experience high temperature    1.0000
locative    A locative is a category    1.0000
loch    Lochs are inlets    1.0000
lockbox    A lockbox is a box    1.0000
lockdown    A lockdown is internment    1.0000
locker    Lockers have (part) floors    1.0000
locket    Locket isa case    1.0000
lockout    A lockout is opposition    1.0000
locoism    A locoism is an animal disease    1.0000
locomotion    Locomotion comes in the form of either the rotating flagellums, or the flexible pellicle membrane    0.7829
locomotive    A locomotive is a container    1.0000
locomotive engineer    A locomotive engineer is an operator    1.0000
locoweed    A locoweed is a legume    1.0000
locum    A locum is relief    1.0000
locus    Locuses are sets    1.0000
locust blood    Locust blood is a deep reddish-orange in coloration    0.7354
locust borer    Locust borers are colorful beetles plentiful on goldenrod flowers    0.8089
locust egg    Locust eggs are deposited in the soil and are protected by egg pods    0.7583
locust tree    Locust trees produce flowers    1.0000
lode    A lode is sedimentation    1.0000
lodestar    A lodestar is an example    1.0000
lodge    Lodges are buildings    1.0000
lodgepole    Lodgepoles are hardy trees that are largely resistant to disease    0.7552
lodger    A lodger is a tenant    1.0000
lodging    Lodgings are located in resort areas    1.0000
lodgment    A lodgment is an allegation    1.0000
loess    A loess is dirt    1.0000
loess soil    Loess soil is a fine-grained, wind blown sediment    0.7575
loft    Lofts are located in cities    1.0000
log    Logs have thickness    1.0000
log book    Log books are located in tables    1.0000
log cabin    A log cabin is a cabin    1.0000
log file    Log files are computer files    1.0000
log line    A log line is cord    1.0000
loganberry    A loganberry is a berry    1.0000
logarithm    Logarithm is power    1.0000
logarithmic scale    Logarithmic scales are scales    1.0000
logbook    Logbooks are records    1.0000
logger    A logger is a laborer    1.0000
loggerhead    Loggerheads have powerful jaws that crush shellfish and mollusks    0.8310
loggerhead shrike    Loggerhead shrikes eat crayfish    0.7781
logging    Loggings are work    1.0000
logic    Logic is used for reasoning    1.0000
logic bomb    A logic bomb is a computer programme    1.0000
logic circuit    Logic circuits have gates    1.0000
logic gate    A logic gate is a circuit    1.0000
logic programming    A logic programming is a creation    1.0000
logical design    Logical designs use analyses    1.0000
logical explanation    Logical explanations explain mysteries    1.0000
logical operation    Logical operations are operations    1.0000
logical order    Logical order is the order in which characters and words are read and written    0.7294
logical positivism    Logical positivism is empiricism    1.0000
logical positivist    A logical positivist is a positivist    1.0000
logical proof    Logical proof is proof    1.0000
logical topology    Logical topologies are topologies    1.0000
logician    A logician is an expert    1.0000
logicism    A logicism is a philosophical theory    1.0000
logistic curve    Logistic curves show similarity    1.0000
logistic equation    Logistic equations describe logistic population growth    1.0000
logistic support    Logistic support is support    1.0000
logistician    A logistician is an expert    1.0000
logjam    A logjam is a stop    1.0000
logo    Logos are trademarks    1.0000
loin    Loins are part of torsos    1.0000
loiterer    A loiterer is an idler    1.0000
lollipop    A lollipop is frozen dessert    1.0000
lomustine    A lomustine is a cancer drug    1.0000
lone wolf    A lone wolf is an individualist    1.0000
loneliness    Lonelinesses are emotion    1.0000
loner    Loners are individualists    1.0000
long antenna    Long antennae are organs for touch, taste, and smell    0.8293
long car trip    Long car trips provide options    1.0000
long distance    Long distance is a call    1.0000
long distance migration    Long distance migration takes places    1.0000
long division    Long division is division    1.0000
long drought    Long drought has effects    1.0000
long haul    A long haul is a journey    1.0000
long iron    Long irons are irons    1.0000
long island    Long islands are islands    1.0000
long leg    Long legs may have spots    1.0000
long line    Long lines are located in movies    1.0000
long neck    Long necks have arteries    1.0000
long nose bandicoot    Long nose bandicoots use noses    1.0000
long prehensile tail    Long prehensile tails have tips    1.0000
long run    A long run is a period    1.0000
long run decision    Long run decisions impact cost    1.0000
long running    Long running are running    1.0000
long shot    Long shot is a gamble    1.0000
long sleeve    Long sleeve is sleeve    1.0000
long stalk    Long stalks have growth    1.0000
long tail    Long tails vary in length    1.0000
long tentacle    Long tentacles have sting    1.0000
long term experiment    Long term experiments examine impact    1.0000
long term exposure    Long term exposure causes cancer    1.0000
long time    Long time is time periods    1.0000
long time problem    Long time problems plague scientists    1.0000
long tunnel    Long tunnels occupy hunt territory    1.0000
long underwear    A long underwear is a garment    1.0000
long wave    Long waves are radio waves    1.0000
long whisker    Long whiskers extend from sides    1.0000
long year    Long years occur when the calendar year is longer than the solar year     0.7542
longan    A longan is a fruit tree    1.0000
longbow    Longbows are bows    1.0000
longer    Longers are people    1.0000
longest journey    Longest journeys are video games    1.0000
longevity    Longevities are interestings    1.0000
longhand    Longhand is a hand    1.0000
longhorn    Longhorns are beef    1.0000
longing    Longing are emotion    1.0000
longitude    Longitudes are books    1.0000
longitudinal flexibility    Longitudinal flexibility refers to the ability to pass through vascular bends or tortuous vessels    0.7384
longitudinal growth    Longitudinal growth involves the formation of new sarcomeres at each end of the fiber    0.7795
longitudinal muscle    Longitudinal muscles constract and the shell is pulled forward    0.7147
longshoreman    A longshoreman is a laborer    1.0000
longshot    A longshot is a photograph    1.0000
longwave radiation    Longwave radiation is associated with heat energy    0.7474
loo    Loos have (part) toilet bowls    1.0000
loofah    A loofah is fiber    1.0000
look statement    Look statements include information    1.0000
looker    A looker is a woman    1.0000
looking    Looking are searchs    1.0000
lookout    A lookout is a look    1.0000
lookup    A lookup is an operation    1.0000
loom    A loom is a machine    1.0000
loon    Loons return to areas    1.0000
loon parent    Loon parents bring enough food    1.0000
loonie    A loonie is a dollar    1.0000
loony    A loony is a maniac    1.0000
looper    A looper is a caterpillar    1.0000
loophole    Loopholes are ambiguity    1.0000
loose cannon    A loose cannon is a person    1.0000
loose change    Loose change is located in pockets    1.0000
loose connective tissue    Loose connective tissue surrounds veins    1.0000
loose coupling    Loose couplings are couplings    1.0000
loose end    Loose ends are work    1.0000
loose material    Loose materials provide habitats    1.0000
loose smut    Loose smut affects plants and yield by converting the grain and parts of the head to smut spores    0.7026
loose stool    Loose stools have chemical smell    1.0000
loot    Loot isa possession    1.0000
looter    A looter is a thief    1.0000
lope    Lope is travel    1.0000
lopper    A lopper is a saw    1.0000
loquat    Loquats are part of loquats    1.0000
lordosis    A lordosis is a spinal curvature    1.0000
lore    Lore is content    1.0000
lorida    Florida isa thing    1.0000
lorikeet    Lorikeets have tongues that look like little brushes for feeding on nectar    0.7630
lorry    Lorries have (part) sections    1.0000
lory    Lories are parrots    1.0000
loser    Losers are gamblers    1.0000
loss    Loss is a possession    1.0000
loss of consciousness    Loss of consciousness is an occurrence    1.0000
loss of hearing    Loss of hearing means total and permanent loss in both ears    0.7461
loss of sight    Loss of sight means the irrecoverable loss of vision    0.7051
loss of teeth    Loss of teeth means loss of bone    0.7936
lost cause    Lost causes are campaigns    1.0000
lost property    Lost properties are properties    1.0000
lostridia    Clostridia are spore-forming obligate anaerobes     0.8688
lot    Lots are tracts    1.0000
lotion    Lotions produce a coolant effect on the skin, as they hydrate the skin    0.7217
lotte    A lotte is a bony fish    1.0000
lottery    Lottery isa occurrence    1.0000
lottery winner    A lottery winner is a winner    1.0000
lotto    A lotto is a board game    1.0000
lotus    Lotuses are flowers    1.0000
lotus flower    Lotus flowers are built to attract beetle pollinators, a primitive floral characteristic    0.7244
lotus tree    A lotus tree is a bush    1.0000
loucestershire    Gloucestershire isa thing    1.0000
loud explosion    Loud explosions cause pain    1.0000
loud music    Loud music is located in concerts    1.0000
loud speaker    Loud speakers will have power    1.0000
loudspeaker    Loudspeaker isa device    1.0000
lough    A lough is a cove    1.0000
louisiana coastline    Louisiana coastlines have shallow shelves    1.0000
lounge    A lounge is a room    1.0000
lounge chair    A lounge chair is an armchair    1.0000
lounger    A lounger is an idler    1.0000
loupe    A loupe is a light microscope    1.0000
louse    Lice have lifespans    1.0000
louvered window    A louvered window is a window    1.0000
lovage    Lovages are part of lovages    1.0000
lovakia    Slovakia isa thing    1.0000
love    Love is part of life    1.0000
love affair    Love affairs are relationships    1.0000
love animal    Love animals have sleep chambers    1.0000
love bug    Love Bugs are small flies that are in the process of mating when they swarm over the roads    0.8177
love handle    A love handle is fat    1.0000
love letter    Love letters are artwork    1.0000
love life    Love life is sex    1.0000
love seat    A love seat is a couch    1.0000
love song    Love songs are songs    1.0000
love story    Love stories are stories    1.0000
lovebird    A lovebird is a parrot    1.0000
loved one    A loved one is a person    1.0000
lovely herb    Lovely herbs add refresh flavor    1.0000
lovenia    Slovenia isa thing    1.0000
lover    Lovers are located in motels    1.0000
low    A low is air mass    1.0000
low air pressure    Low air pressure causes wind    1.0000
low beam    A low beam is a ray    1.0000
low blood pressure    Low blood pressure has effects    1.0000
low blood sugar    Low blood sugar causes follow symptoms    1.0000
low brass    Low brass is brass    1.0000
low breathing    Low breathing refers to what takes place primarily in the lower part of the chest and lungs    0.7771
low comedy    A low comedy is a comedy    1.0000
low current    Low currents are due to ionization by external agents such as cosmic rays, high energy photons, etc    0.7019
low demand    Low demand is capable of lower prices    1.0000
low energy material    Low energy materials require maintenance    1.0000
low estrogen    Low estrogen leads to bone loss and osteoporosis    0.7279
low explosive    A low explosive is an explosive    1.0000
low fat food    Low fat food includes grain    1.0000
low frequency    Low frequencies are radio frequencies    1.0000
low humidity    Low humidity causes wood to lose moisture and shrink    0.7029
low level    Low levels reduce growth    1.0000
low light    Low light has lesser effects    1.0000
low magnesium    Low magnesium causes abnormal heart rhythm and convulsions    0.7204
low mass    Low mass is mass    1.0000
low moisture    Low moisture creates conditions    1.0000
low oxygen    Low oxygen causes vasoconstriction in the alveolar capillaries    0.7187
low pressure    Low pressure causes wind    1.0000
low pressure sodium vapor light    Low pressure sodium vapor light has lesser effects    1.0000
low profile    Low profiles are visibility    1.0000
low progesterone    Low progesterone causes depression in women    0.7437
low protein    Low protein diets impair immunity to infectious diseases    0.7260
low rank coal    Low rank coal has ring structures    1.0000
low risk mother    Low risk mothers have choices    1.0000
low serotonin    Low serotonin is also responsible for sleep disorders    0.7136
low soil temperature    Low soil temperature reduces root growth    1.0000
low status    Low status is status    1.0000
low sugar    Low sugar causes follow symptoms    1.0000
low temperature    Low temperature causes health problems    1.0000
low tide    Low tide is the quiescent period when the tide pool inhabitants seek shelter    0.7266
low vision    Low vision results from a variety of conditions and disorders that affect the eye    0.7108
low wage    Low wages are relatives    1.0000
low water    Low water is tide    1.0000
lower atmosphere    Lower atmospheres create wind    1.0000
lower bound    A lower bound is an edge    1.0000
lower branch    Lower branches have twigs    1.0000
lower court    A lower court is a court    1.0000
lower deck    A lower deck is a deck    1.0000
lower esophagus    Lower esophagi have muscles    1.0000
lower intestine    Lower intestines consist of cecums    1.0000
lower jaw    A lower jaw is a jaw    1.0000
lower jawbone    A lower jawbone is a jaw    1.0000
lower leaf    Lower leaves have blunt tips    1.0000
lower leg    Lower legs are solid objects    1.0000
lower level    Lower levels indicate acidity    1.0000
lower level employee    Lower level employees leave organizations    1.0000
lower limit    Lower limits are limits    1.0000
lower lip    Lower lips are lips    1.0000
lower lobe    Lower lobes control normal functions    1.0000
lower pressure    Lower pressure indicates weather    1.0000
lower sea level    Lower sea levels occur during years    1.0000
lower surface    Lower surfaces expose to air    1.0000
lower tooth    Lower tooths are tooths    1.0000
lower troposphere    Lower tropospheres contain methane    1.0000
lower value    Lower values have impact    1.0000
lowercase    A lowercase is a graphic symbol    1.0000
lowest level    Lowest levels are low levels    1.0000
lowland    Lowland is a depression    1.0000
loyalist    Loyalists are supporters    1.0000
lozenge    Lozenges are candy    1.0000
luau    A luau is a fiesta    1.0000
lubrication    Lubrication is made of water    1.0000
lubricity    A lubricity is physical attraction    1.0000
lucerne flea    Lucerne fleas eat holes in the leaves of seedlings    0.8277
lucidity    Lucidity is sanity    1.0000
lucifer    A lucifer is an ignitor    1.0000
lucky digger    Lucky diggers find death scenes    1.0000
luetongue    Bluetongue is an insect-transmitted disease that is transmitted by biting gnats    0.7441
luff    A luff is a sailing    1.0000
lug    Lugs are the leaves on the lower half of the plant    0.7926
luger    A luger is an athlete    1.0000
luggage    Luggage has (part) handles    1.0000
luggage rack    A luggage rack is a carrier    1.0000
lugger    A lugger is a boat    1.0000
lugworm    A lugworm is a segmented worm    1.0000
lull    Lull isa pause    1.0000
lullaby    Lullabies are songs    1.0000
lumbago    Lumbago isa pain    1.0000
lumber    Lumber has (part) sections    1.0000
lumberjack    Lumberjacks are jackets    1.0000
lumberman    A lumberman is a laborer    1.0000
lumbosacral strain    Lumbosacral strain refers to a strain of the ligaments between the lumbar spine and the sacrum    0.7024
lumen    Lumens are cavities    1.0000
lumen depreciation    Lumen depreciation is a drop in light output of the lamp over time    0.7428
lumina    Alumina is extracted from bauxite for the production of aluminium    0.7898
luminary    Luminaries are celebrities    1.0000
luminescent dust    Luminescent dust particles drifting through the Earth's atmosphere    0.7653
luminescent firefly    Luminescent fireflies light up to attract a mate of the same species of firefly    0.7874
luminescent ostracod    Luminescent ostracods create two chemicals which they release into the water    0.8208
luminescent sensor    Luminescent sensors recognize fluorescent markings, labels, threads, lubricants and adhesives    0.7003
luminosity    Luminosity is defined as the amount of energy emitted from the whole star in one second    0.7324
luminosity class    Luminosity class describes the absolute brightness, or magnitude, of a star    0.7361
luminous flux    Luminous flux is flux    1.0000
luminous lucidity    Luminous lucidity is the intermediary state, generating the entoptic sensation of colored radiance    0.7018
luminous paint    Luminous paint is phosphorescent    0.7076
luminous substance    Luminous substances react to light    1.0000
lump    Lumps are often benign accumulations of fat, known as lipomas    0.7646
lumper    A lumper is a laborer    1.0000
lumpsucker    A lumpsucker is a bony fish    1.0000
lumpy jaw    Lumpy jaw is caused by bacteria normally found in the mouths of healthy animals    0.8012
lunar calendar    A lunar calendar is a calendar    1.0000
lunar crater    Lunar craters are craters on Earth's Moon    0.7819
lunar dome    Lunar domes are volcanic structures that consist of low hills with a blister-like appearance    0.7373
lunar eclipse    Lunar eclipses are visible from more than half of the Earth    0.7198
lunar gravitation    Lunar gravitation affects the major circulation patterns of the earth's atmosphere    0.7412
lunar occultation    Lunar occultations happen when the moon passes in front of a star, major planet or minor planet    0.7454
lunar year    A lunar year is a year    1.0000
lunation    A lunation is a month    1.0000
lunch    Lunch is located in schools    1.0000
lunch box    Lunch boxs are located in buses    1.0000
luncheon    A luncheon is a meal    1.0000
luncheon meat    Luncheon meat is a cold cuts    1.0000
lunching    Lunchings is eating    1.0000
lunchtime    Lunchtime isa knowledge    1.0000
lunette    A lunette is an opening    1.0000
lung    Lungs are large and, together with the heart, virtually fill the entire thoracic cavity    0.8268
lung abscess    Lung abscesses involve the lung parenchyma, while empyema involves the pleural space    0.7271
lung biopsy    Lung biopsy is biopsy    1.0000
lung cancer    Lung cancer is the number one cause of cancer death in men and women    0.7319
lung carcinoma    Lung carcinoma is the most common second primary tumor in patients with laryngeal carcinoma    0.7292
lung disease    Lung disease is a common cause of pain and death in older people    0.7495
lung fish    Lung fish have four limbs and breathe air    0.8250
lung function    Lung function describes how well a person can move air in and out of the lungs    0.7574
lung infection    Lung infection is the major cause of mortality and morbidity in cystic fibrosis    0.7674
lung tumor    Lung tumors require treatments    1.0000
lung volume reduction surgery    Lung volume reduction surgery takes places    1.0000
lunge    A lunge is movement    1.0000
lungfish    Lungfishes have (part) fish scales    1.0000
lungi    A lungi is a piece    1.0000
lungless salamander    A lungless salamander is a salamander    1.0000
luorescein    Fluorescein is the coloring agent used to make the blood vessels visible within the eye    0.8478
lupin    Lupins are important larval food plants for many lepidopterans , the butterflies and moths    0.7845
lupine    A lupine is a tracheophyte    1.0000
lupus    Lupus is skin disorder    1.0000
lupus patient    Lupus patients should have tests    1.0000
luque rod    Luque rods hold the spine in place while the vertebrae fuse    0.7224
lur    Lurs are humans    1.0000
lurcher    Lurchers are dogs    1.0000
lure    A lure is attraction    1.0000
lurker    Lurkers are waiters    1.0000
lush    A lush is a drunk    1.0000
lush green plant    Lush green plants produce flowers    1.0000
lush plant    Lush plants produce flowers    1.0000
lust    Lust is desire    1.0000
luster    Luster isa brightness    1.0000
lute    Lutes are musical instruments    1.0000
luteal phase    A luteal phase is a stage    1.0000
luthier    Luthiers are craftsmans    1.0000
lutonium    Plutonium is a dense, silvery, radioactive, metallic element    0.8114
luxury    Luxuries are indulgence    1.0000
lycaenid    A lycaenid is a butterfly    1.0000
lycanthrope    A lycanthrope is a mythical creature    1.0000
lyceum    A lyceum is a hall    1.0000
lychee    Lychees are fruit    1.0000
lycine    Glycine is found in many foods high in protein, such as fish, meat, beans, and dairy    0.7933
lycopene    Lycopenes are a part of the family of pigments called cartenoids    0.8201
lye    Lye burns skin    1.0000
lying    Lying  dog bites    1.0000
lymph    Lymph flows through channels    1.0000
lymph gland    A lymph gland is lymphoid tissue    1.0000
lymph heart    Lymph hearts are heart-like structures that help the lymphatic circulation    0.8412
lymph node    Lymph nodes play an important part in the body's defense against infection    0.7469
lymph vessel    A lymph vessel is a duct    1.0000
lymphangiography    Lymphangiography is an x-ray of the lymph glands and vessels after an injection of a dye    0.7973
lymphangioma    A lymphangioma is a tumor    1.0000
lymphangiomatous polyp    Lymphangiomatous polyps are uncommon benign tumors of the tonsils    0.7871
lymphangitis    A lymphangitis is a symptom    1.0000
lymphatic capillary    Lymphatic capillaries drain excess tissue fluid    0.7431
lymphatic channel    Lymphatic channels are a fluid circulation system that parallel the blood circulation system    0.7956
lymphatic circulation    Lymphatic circulation depends on movement and exercise to propel lymph flow    0.7451
lymphatic drainage    Lymphatic drainage describes the movement of lymph in the body    0.8186
lymphatic filariasis    Lymphatic filariasis is a parasitic disease caused by microscopic, thread-like worms    0.8112
lymphatic fluid    Lymphatic fluid contains plasma    1.0000
lymphatic function    Lymphatic function is enhanced by activity, such as exercise or massage    0.7616
lymphatic nodule    Lymphatic nodules are the building units of larger lymphatic organs    0.8470
lymphatic obstruction    Lymphatic obstruction is blockage of the lymph vessels    0.8478
lymphatic system    A lymphatic system is a system    1.0000
lymphatic tissue    Lymphatic tissue contains both fixed and circulating elements    0.7056
lymphatic vessel    Lymphatic vessels drain waste products from tissues    0.8581
lymphedema    A lymphedema is a swelling    1.0000
lymphoblast    A lymphoblast is a lymphocyte    1.0000
lymphocyte    Lymphocytes are able to respond to a huge number of antigens    0.7803
lymphocytic gastritis    Lymphocytic gastritis is associated with celiac disease    0.7885
lymphocytic leukemia    Lymphocytic leukemia involves the lymphoid cells, and myelogenous involves the myeloid cells    0.7845
lymphocytosis    A lymphocytosis is blood disorder    1.0000
lymphocytotoxic antibody    Lymphocytotoxic antibody is a predictor of response to random donor platelet transfusion    0.7226
lymphoid cell    Lymphoid cells play an active part in the body's immune system    0.8168
lymphoid precursor    Lymphoid precursors develop into the small white blood cells called lymphocytes    0.7929
lymphoid tissue    Lymphoid tissue is a collection of white blood cells that are part of our immune system    0.8359
lymphokine    Lymphokines regulate immunoglobulin isotype expression in an antigen specific immune response    0.8275
lymphoma    Lymphomas begin in the lymph nodes and tissues of the body's immune system    0.8239
lympthatic fluid    Lympthatic fluids drain into the deep cervical nodes    0.7433
lynx    Lynxes have big eyes    1.0000
lyophilisation    Lyophilisation allows preservation of food for a long period of time    0.7857
lyophilization    A lyophilization is evaporation    1.0000
lyophilize cell    Lyophilize cell extract over night    0.7110
lyre    A lyre is a harp    1.0000
lyrebird    Lyrebirds are shy birds    0.7530
lyric    Lyrics are capable of poems    1.0000
lyric poem    A lyric poem is a poem    1.0000
lysergic acid    Lysergic acid is a ingredient of the mold of ergot, a fungus that forms on rye grain    0.8232
lysigenous gland    Lysigenous glands are usually more or less spherical    0.7217
lysine    Lysine isa compound    1.0000
